ENSMUSG00000008575	ENSMUSG00000005583	ENSMUSG00000040732	ENSMUSG00000025959	ENSMUSG00000000317	ENSMUSG00000020160	ENSMUSG00000064141	ENSMUSG00000032035	ENSMUSG00000050919	ENSMUSG00000031627	ENSMUSG00000069378	ENSMUSG00000044167	ENSMUSG00000031103	ENSMUSG00000025529	ENSMUSG00000029553	ENSMUSG00000006311	ENSMUSG00000055435	ENSMUSG00000022895	ENSMUSG00000053477	ENSMUSG00000018604	ENSMUSG00000008398	ENSMUSG00000029178	ENSMUSG00000024238	ENSMUSG00000027684	ENSMUSG00000062327	ENSMUSG00000028565	ENSMUSG00000000078	ENSMUSG00000023902	ENSMUSG00000027583	ENSMUSG00000028163	ENSMUSG00000038227	ENSMUSG00000024985	ENSMUSG00000053007	ENSMUSG00000022150	ENSMUSG00000040929	ENSMUSG00000046470	ENSMUSG00000024406	ENSMUSG00000020484	ENSMUSG00000000094	ENSMUSG00000024140	ENSMUSG00000063632	ENSMUSG00000044220	ENSMUSG00000025902	ENSMUSG00000026628	ENSMUSG00000040270	ENSMUSG00000020185	ENSMUSG00000057098	ENSMUSG00000038236	ENSMUSG00000055148	ENSMUSG00000027210	ENSMUSG00000030788	ENSMUSG00000042439	ENSMUSG00000048402	ENSMUSG00000032446	ENSMUSG00000030341	ENSMUSG00000027361	ENSMUSG00000027547	ENSMUSG00000000938	ENSMUSG00000068551	ENSMUSG00000018698	ENSMUSG00000058881	ENSMUSG00000055799	ENSMUSG00000028466	ENSMUSG00000071637	ENSMUSG00000048410	ENSMUSG00000040433	ENSMUSG00000034041	ENSMUSG00000021877	ENSMUSG00000047003	ENSMUSG00000007805	ENSMUSG00000079277	ENSMUSG00000075040	ENSMUSG00000055053	ENSMUSG00000033713	ENSMUSG00000026436	ENSMUSG00000016087	ENSMUSG00000056758	ENSMUSG00000075588	ENSMUSG00000026104	ENSMUSG00000038700	ENSMUSG00000026398	ENSMUSG00000036139	ENSMUSG00000021972	ENSMUSG00000021506	ENSMUSG00000037465	ENSMUSG00000023079	ENSMUSG00000099083	ENSMUSG00000038210	ENSMUSG00000019564	ENSMUSG00000034762	ENSMUSG00000062991	ENSMUSG00000022346	ENSMUSG00000019256	ENSMUSG00000026890	ENSMUSG00000002393	ENSMUSG00000038151	ENSMUSG00000015522	ENSMUSG00000040289	ENSMUSG00000030544	ENSMUSG00000030199
ENSMUSG00000044167	5.86175190895306	10.4834043565414	0	0	0	5.80929559395214	0	0	0	0	0	0	0	0	0	0	0	0	2.62471425643776	0	10.6068988825071	0	1.92487092410251	0	0	11.5912396551846	0	0	0	0	0	0	0	0	6.17160830494808	0	0	0	0	0	0	0	0	0	11.0678844141387	0	4.96748219237745	0	0	1.58866097931857	0	0	0	0	0	0	0	0	0	8.80604218196022	0	0	0	0	0	0	0	0	0	0	5.31223690508358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5767389629425	0	0	0	0	3.30186847784693	0	0	0	0
ENSMUSG00000031103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006311	15.212824688001	9.33511865417107	0	0	0	2.94181772792041	0	0	0	4.33795353367207	3.87531120344205	4.24334620073748	0	1.27721598622712	0	0	0.835877550288929	0	9.84965910751788	0	16.3786481265566	0	11.6538607952436	0	0	16.4157949667053	0	12.4338076504712	0	0	0	0	0	0.141510837517874	11.1810681927171	0	0.110638416504716	0	0	6.46628066873529	0	0	10.0442777104817	0	6.90947118099821	0	0	0	0	1.87991667038418	0	0	0	9.59942987206579	0	0	0	0	0	13.1839649181824	0	0	0	0	0	0	0	0	0	0.0416557692639278	0	0	4.00689734570795	0	0	0	16.83003198094	0	0	0	0	0	0	0	0	0	0	0	0	8.61100317788205	4.43411734186578	0	0	0	0	0	0	0	0	0
ENSMUSG00000055435	0	0	0	0	0	2.25991582795592	0	0	0	3.36253314826659	0.0992820955247256	6.74522920066213	0	4.49719438389117	0	0	0	0	8.04450883103935	0	0	0	1.83755292991012	0	0	0	9.19002336877632	3.67290602101743	0	0	0.80394669984	8.11331771689154	0	0	0	0	5.80444701830053	0	1.50739222563572	3.81667177406722	0	0	0	0	6.45625149071973	0	0	1.91806931715657	0	0.377971321957209	0	0	0	1.31382727156268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.32429252648901	0	0	2.26037723894889	0	0	9.36892662912292	7.73136344606462	0	0	0	0	0	0	0	0	0	0	0	0	0	9.95448290835206	0	0	0	0	0	0	0	0.876420355134237	0
ENSMUSG00000022895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053477	0	1.09983061700116	0	0	0	0	0	0	0	0	0	0.0116132154188228	0	0	0	0	2.17078283297204	0	0	0	0	0	10.3518697195036	0	0	1.96035289428248	6.02171161128196	12.6900975460938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7717772184833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5510191203915	0	0	0	0	0	0	0	0.129841228325492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31139962128348	0	0	0	0
ENSMUSG00000018604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.609584749714582	0	0	0	0	9.44950576490528	0	0	1.40452971379684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000008398	5.37836507482071	0	0	0	0	1.37746600705266	0	0	0	8.41963734230927	0	10.9749997036557	0	0	0	0	0	0	0	0	0	0	12.6592825743436	0	0	0	0	0	0	0	0	0	0	0	1.26015449328754	0	2.41645159656696	0	0	0	0	0	11.6129229371257	0	1.13402952854028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3693325472239	0	0	0	0	0	0	0	0	0	6.60555388149372	0	0	1.51631822935579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024238	0.313554326252824	10.4270120942058	1.59423819679691	0	0	9.79480877873845	0	6.10867877228235	0	7.04141138104334	0	0.0039687532170252	0	9.51389519725965	0	0	4.01553327271912	0	8.03185537188187	0	11.069754806923	0	0	10.4285103749718	0	5.70522188125146	2.02187432660784	11.1523053028141	0	0	3.69262847018934	10.9667605427147	0	0	9.87027434496248	0	5.04808028167145	0	4.41078943289306	7.87117074988934	0	1.20702248769908	0	0	17.1966582734185	0	1.26140554435479	2.94341158381569	0	12.0435618013092	0	0	0	5.93712076574134	0	0	0	0	0	4.82588464247356	0	0	0	0	0	0	0	0	0	3.35345051112224	12.5981930837414	0	0.0850021120471661	0	0	3.22229318166028	8.55415954747601	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0354631788916	0	0	0	0	7.23555168619114	0	0	0.579720830580913	0
ENSMUSG00000027684	8.95262867921611	0	0	0	0	8.21976905123699	0	0	0	0	0	0	0	0	0	0	3.41119257802059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.19070692626262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56357133741288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7065643985755	0	0	0	0	11.6152645710076	0	0	0	0
ENSMUSG00000062327	7.31215158802459	0	0	0	0	0	0	0	0	5.29882629241411	0	12.2297416560115	0	0	0	0	0	0	8.55957662019057	0	0	0	10.389322591726	1.14721551782234	0	3.29332485267775	6.85661674029253	0	0	0	3.94987080853359	0	0	0	8.11638583601952	0	0	0	0	12.5493623741658	0	0	0	0	8.89640818915369	0	0	0	0	0	0	0	0	0.608932511685369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78243788923216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53651930205421	0	0	0	0	0	0	0	0	17.0793985615125	0
ENSMUSG00000028565	0	4.22895053372409	0	0	0	9.09622035608999	0	0	0	7.26712128758721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4595412553906	0	0	0	0	0	0	0	0	0	0	0	0	4.6726618281644	0	0	0	0	0	0	0	0	0	8.26277096011312	0	0	0	0.109464496036436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52300293151171	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25345096046544	0	0	0	0	0	0	0	2.64208314240082	0
ENSMUSG00000000078	4.25785618791615	5.20415142014146	0	0	0	0.338046224648229	0	9.01884083701058	0	9.21837887910161	9.04116651426493	9.4447617011707	0	11.8726047770837	0	0	10.893721256058	0	4.34082893956027	7.86486178339607	0.930187963290576	0	2.30811560373855	4.25342507754943	0	14.3808283041376	0	1.96244806677688	0	0	11.5015390900476	9.42885744666138	7.11388991237428	10.5690507762998	2.83280536523579	0	0.236824713383178	0	0.447813506223575	12.7262077443734	0	5.96275161644305	7.00606849427551	0	3.96726319228695	0	7.71882719790736	7.89047284512069	0	9.65142814099113	0	0	0	8.5573434701965	0	0	0	0	0	0.063556726073585	0	0	0	0	0	0	0	0	0	7.07941408051763	9.51891603019534	0	6.43406815747924	0	0	6.61596819561366	2.54384720291966	0	0	0	0	0	0	0	0	0	0	0	0	7.2773157454832	8.23487364684062	0	0	0	0	7.3210487873844	0	0	0	0
ENSMUSG00000023902	0	0	0	0	0	0	0	0	0	9.84742166011999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.7082636402629	0	0	0	0	0	0	0	0	0	0	0	0	2.46270650109218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038227	6.14356178823028	0	0	0	0	0	0	0	0	0	0	9.94408650399647	0	8.7445220565435	0	0	0	0	0	0	0	0	4.34394534568601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2205072696506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.26325619071492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024985	6.61084580575727	7.02450469176121	0	0	0	0.792584868645886	0	0.299194595286339	0	2.72424729000856	6.08529315046103	1.05201166573014	0	5.62440191746059	0	0	8.31520088319812	0	6.85801055663568	7.26346359738295	4.14491623454049	0	7.02742016901643	9.7529154920022	0	9.37824423824419	3.90072061724492	8.84423163043697	0	0	0	0	8.99216701427555	0	1.86323911651209	0	5.01172169759378	0	1.20354467444883	0.537080492184944	0	0	0	0	0.079105015153152	0	4.92483850839183	6.93212071922679	0	5.54526168170718	0	0	0	9.19530053882346	0	0	0	0	0	11.2499463099497	0	0	0	0	0	0	0	0	0	5.01534051016239	11.623630270476	0	2.69202201712374	0	0	0.286359884554176	9.07696336751394	0	0	0	5.33054518553036	0	0	0	0	0	0	0	0	11.4449852912587	5.26331544952354	0	0	0	0	8.82202142764428	0	0	0	0
ENSMUSG00000053007	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0703682167598755	0	0	2.11262909909246	0	7.55584837656439	6.34897612845792	0.246003538354648	0	7.1930967329636	13.0021262235257	0	0	0.90855769595324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.399907016328	0	0	12.0283375845081	0	1.14358729434583	0	0	0	0	0	0	0	0	0	0	0	0	6.94260657075414	0	0	0	0	0	0	0	0	0	0	0	0	13.3726187358422	0	0	8.56902622039478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040929	0	9.35826820877511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5846060713606	0	0	0	11.415473072924	6.00675153095108	0	0	0	1.68854317924259	0	0	4.89720911496752	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4537244083084	0	0	9.0031677656062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7391050920246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024406	10.8580640332643	5.06566905287322	2.33599471605234	0	0	0	0	6.71071610818542	0	12.0211698931852	0	9.4479166646919	0	0.196342585657778	0	0	9.21496979131725	0	3.45074435032526	4.16817417312151	2.31734521106204	0	3.15169309960773	6.63142266178087	0	6.07224033232112	2.06066300725246	0	0	0	6.59903630564058	8.98963816729765	0.201131749195047	2.85987904052714	2.85640442942142	0	0	0	6.63390341110245	3.46504737791475	0	0	0	0	0.0844784468690731	0	0.329055454870355	0.227733181963342	0	11.4591932157604	0	0	0	13.3023774516271	0	0	0	0	0	0.487440372209664	0	0	0	0	0	0	0	0	0	2.19606781140369	5.74135811938704	0	7.63980771406887	0	0	0	6.89259124717629	0	0	0	0	0	0	0	0	0	0	0	0	3.8187786576576	0	0	0	0	0	8.32694434019609	0	0	0	0
ENSMUSG00000020484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000094	4.07702481486444	0	0	0	0	0	0	0	0	11.4838800972089	0	0	0	0	0	0	0	0	0	0	0	0	6.51965070705677	0	0	0	0	0	0	0	0	4.13265864986515	0	0	0	0	0	0	0	9.63366806507282	0	0	0	0	0.0583834801536043	0	0	0	0	0	0	0	0	5.72535039350414	0	0	0	0	0	7.87535601240194	0	0	0	0	0	0	0	0	0	17.8594213039347	0	0	7.23302737953012	0	0	0	0	0	0	0	0.509211917639538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68501195597939	0
ENSMUSG00000024140	0.440337989158787	0	0	0	0	1.65878190371378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.47992726667464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0320666145692	0	0	0	0	0	0	0	0	0	8.67613732848273	0	0	0	0	0	0	0	0	0	0	2.43598293589084	0	6.59897765213816	0	0	0	1.98933090347486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
